	MHCI	MHCII	Coactivation_molecules	Effector_cells	T_cell_traffic	NK_cells	T_cells	B_cells	M1_signatures	Th1_signature	Antitumor_cytokines	Checkpoint_inhibition	Treg	T_reg_traffic	Neutrophil_signature	Granulocyte_traffic	MDSC	MDSC_traffic	Macrophages	Macrophage_DC_traffic	Th2_signature	Protumor_cytokines	CAF	Matrix	Matrix_remodeling	Angiogenesis	Endothelium	Proliferation_rate	EMT_signature
S1517327	-1.003619442535569	-1.9781224897773388	-1.00722822259823	-0.14506532431023544	0.1960971356282222	-1.0691585626509565	-0.0209193846421698	-0.7459637406361463	0.9649207731422489	-0.8496292601905576	1.055113798479201	-0.04557131513624279	-0.9557818637632499	-0.21238019601611965	-0.35850089916570965	0.059190722577854744	0.5264259608372659	0.21126399573442275	-0.5680108713258424	-1.1736077385643988	-0.702773364451819	-2.0	-1.8522950506477478	-2.0	-2.0	-1.8056206963973285	-1.2322307164033754	-0.70081089674212	-1.0849007093721579
S1416899	-0.04280900043041345	2.0	2.0	2.0	2.0	1.812748507401662	1.3200501569345382	1.9626587090875973	2.0	1.782277361394639	1.300698837922122	2.0	1.5905730719818436	2.0	1.875566053023242	0.967484317669526	2.0	1.350103748073801	1.4653772257984128	2.0	2.0	1.0359311065220231	0.043301224234848605	1.3296932084436865	2.0	1.2069774314232464	1.2789312558100103	-1.5497941588541357	0.00601826624222639
S1511548	1.0608352950903386	-0.3134995277608592	-0.44948128069947646	-0.5926980396550895	-0.9689272446674922	-0.4024310860067234	0.5198950100796078	-0.6122175953153138	0.9036906157420819	1.5011679034548855	-1.5278269462316356	0.051997572945161906	-2.0	-0.20725873028425362	0.31747245231639615	-0.9718428129437866	-0.46278716565681177	0.21060026072147228	0.23394986596385417	1.068027800396099	-1.1596297170547576	0.3919704028792193	-0.8330205224662911	-0.49761658340381065	-0.3926506988499286	-0.11430339135453273	-0.7082338924587953	0.22473872325144467	-2.0
S1607471	-0.3101256906507915	0.558230641666828	1.069762488399822	-0.3591803753895497	1.8598619382564225	-0.30827141672022307	-0.6925959360887495	-0.1589543284218446	1.4042444073954643	1.8884917415560905	1.5845993289292657	0.43192838485534246	0.036547640096406465	0.16489293571582408	-0.12171331746435908	1.2461752071234389	2.0	1.0463960275021897	0.8181918162376911	2.0	1.1684711650474469	1.228396334861407	1.0807888008810713	1.3610016238440596	2.0	1.0256465939174328	0.7127206941151073	1.001301153009955	-0.5317030023390917
S1610000	0.36170919944990737	0.6778188192525857	0.2622474977067687	1.8422221364217828	0.22773168484210765	1.5549752912566956	0.5014643541413266	-0.12195641632171149	0.8330104634739783	-0.38333556486106685	0.1093078747198848	-0.5122335161258438	-0.5063782281575098	-0.013268882635388684	0.7684813323057688	0.9210121618628724	0.712069781586344	1.5000064831049533	0.15509292730821067	0.6110293587822132	-0.11021710071430506	-0.4725341216447003	1.2586545200695967	1.6455884546755124	0.28385778801433864	0.9105865930530707	0.42087705488495425	-2.0	0.2330762688566478
S1540152	-0.1626204512892945	0.27577938707771293	-0.5082010925910978	0.3524752796105858	0.9795454239503545	-0.6754704650944253	-0.3770500222342721	-1.5124073132228024	-1.1131025086569115	-0.698612469909542	-0.3687477332243362	0.4324786720715015	-0.31382766367821513	-1.4903265399248897	-1.7685818248899365	-0.9240491399300216	-0.6187393301444915	-1.311498980289904	-0.8722230330456064	-0.1172220113480749	-0.6682929673761271	-0.7013253366188179	0.6066428601939675	-0.3169525586458377	0.16263858843305296	-0.08032574700860567	-0.5797961859015888	-0.30115050119066794	0.4867402536739509
S1611928	-0.9642577966941734	-0.6961679949912474	0.8188694124640299	0.44593382654477304	0.8394025389115861	1.3387656512808446	0.6164309082107575	0.7040400232875745	0.002881863762932527	1.2260782016260434	0.6727376638964137	0.07811358486541121	1.2432403630033755	1.7966272712544895	1.709417516519665	2.0	0.27850665243526035	1.276947073462322	1.2336063156918164	0.3698454056213229	1.0704662461338734	-0.26973500260525646	-0.17660909168194253	-1.6448108437459736	-1.2671079829051382	0.8069228706789536	0.5325619383310372	-1.571292300639189	1.784518737777788
S1507556	-0.508001783686749	-0.5601446491471387	-0.2457059054166358	1.1385956338953698	-0.1696270656872114	2.0	-0.20890354406079426	-0.4129492938657631	-0.935883244995772	1.2106205911557548	-2.0	0.528322313426726	-0.5824388774229454	-0.18412903143432865	1.3595868337901602	-1.156198305243614	0.2878230498157072	-1.0619015598706425	-1.5534580341094408	-0.5395880285778681	-0.8585973638967992	-1.129281300097762	-0.5185801179702851	-0.6421286352988791	0.005891739551527509	-1.3564187656120685	0.11072420363506959	-1.2337668302194549	0.3604337397032264
S1619302	0.6343864728715236	0.905290750904082	1.5950419536628084	0.13682095797512878	-0.14954908329938055	0.3837801921072093	0.9639049517949668	1.8920569282916206	-0.20258705782676117	0.39045006983267955	2.0	0.9682312222694832	1.8336731901386358	0.34170781951492607	-0.2727931615482263	0.5500258964836605	0.21289350468845855	0.6504273276464715	-0.19002946041367108	-0.7824054696954541	-0.3823605394867617	-2.0	-1.318133671496865	-0.8689854669312824	-0.12543404458692944	-1.4276830696021436	-1.2478435591275234	-1.8693172504199875	1.2551893474009448
S1619164	-1.8471494635967822	-1.596473917613661	-0.14464768619568003	-0.36686177635206124	-1.0365792195684256	-0.9123831818635699	0.03934341147660125	-0.811753433727183	0.41980120381164976	0.7746017518216289	-0.815198114855271	0.12701849997569148	-0.9898878842791929	-0.22500487399340807	-1.0763791737104988	-1.5609608741011647	-1.7530139024632772	-0.56657015277941	-0.6780540535426705	0.18899296947879804	0.2628229915491243	-1.5928732275823045	-0.4324157583809972	-1.4475968895252396	-0.6848257383961911	-1.2503290202596413	-1.1862557621637504	0.6656052570262389	-0.3385164794330011
